id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.2,30.0,89.0,2,2024-08-22 18:01:00.408457,1
00513B9D7E80,1.1,30.0,84.0,2,2024-08-22 18:01:01.409172,1
00513B9D7E80,1.1,30.0,79.0,2,2024-08-22 18:01:02.405150,1
00513B9D7E80,1.1,30.0,79.0,2,2024-08-22 18:01:03.402574,1
00513B9D7E80,1.1,30.0,79.0,2,2024-08-22 18:01:04.484107,1
00513B9D7E80,1.1,30.0,79.0,2,2024-08-22 18:01:05.474673,1
00513B9D7E80,1.1,30.0,84.0,2,2024-08-22 18:01:06.398363,1
00513B9D7E80,1.1,30.0,89.0,2,2024-08-22 18:01:07.396541,1
00513B9D7E80,1.4,30.0,94.0,2,2024-08-22 18:01:08.390815,1
00513B9D7E80,1.1,30.0,98.0,2,2024-08-22 18:01:09.391274,1
00513B9D7E80,1.1,30.0,98.0,2,2024-08-22 18:01:10.387857,1
00513B9D7E80,1.3,30.0,98.0,2,2024-08-22 18:01:11.413821,1
00513B9D7E80,1.1,30.0,98.0,2,2024-08-22 18:01:12.384961,1
00513B9D7E80,1.1,30.0,98.0,2,2024-08-22 18:01:13.463026,1
00513B9D7E80,1.1,30.0,98.0,2,2024-08-22 18:01:14.453544,1
00513B9D7E80,1.1,30.0,98.0,2,2024-08-22 18:01:15.377979,1
00513B9D7E80,1.1,30.0,98.0,2,2024-08-22 18:01:16.534088,1
00513B9D7E80,1.2,30.0,98.0,2,2024-08-22 18:01:17.378860,1
00513B9D7E80,1.2,30.0,98.0,2,2024-08-22 18:01:18.372420,1
00513B9D7E80,1.2,30.0,98.0,2,2024-08-22 18:01:19.366236,1
00513B9D7E80,1.4,30.0,98.0,2,2024-08-22 18:01:20.362350,1
00513B9D7E80,1.4,30.0,98.0,2,2024-08-22 18:01:21.363402,1
00513B9D7E80,1.2,30.0,98.0,3,2024-08-22 18:01:22.359251,1
00513B9D7E80,1.3,30.0,98.0,2,2024-08-22 18:01:23.355114,1
00513B9D7E80,1.4,30.0,98.0,2,2024-08-22 18:01:24.357355,1
00513B9D7E80,1.4,30.0,98.0,2,2024-08-22 18:01:25.474981,1
00513B9D7E80,1.2,30.0,98.0,3,2024-08-22 18:01:26.353198,1
00513B9D7E80,1.2,35.0,98.0,2,2024-08-22 18:01:27.350149,1
00513B9D7E80,1.2,34.0,93.0,2,2024-08-22 18:01:28.347460,1
00513B9D7E80,1.2,34.0,92.0,3,2024-08-22 18:01:29.346831,1
00513B9D7E80,1.3,34.0,92.0,3,2024-08-22 18:01:30.461585,1
00513B9D7E80,1.2,34.0,92.0,3,2024-08-22 18:01:31.408855,1
00513B9D7E80,1.1,34.0,92.0,2,2024-08-22 18:01:32.338979,1
00513B9D7E80,1.1,34.0,92.0,2,2024-08-22 18:01:33.348378,1
00513B9D7E80,1.1,34.0,92.0,2,2024-08-22 18:01:34.411646,1
00513B9D7E80,1.1,34.0,92.0,2,2024-08-22 18:01:35.376029,1
00513B9D7E80,1.3,37.0,92.0,2,2024-08-22 18:01:36.402302,1
00513B9D7E80,1.3,37.0,92.0,3,2024-08-22 18:01:37.324431,1
