id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.7,12.0,75.0,2,2024-08-29 09:01:11.004638,1
00513B9D7E80,2.0,12.0,75.0,2,2024-08-29 09:01:12.000943,1
00513B9D7E80,2.0,12.0,75.0,2,2024-08-29 09:01:13.057068,1
00513B9D7E80,2.0,12.0,75.0,2,2024-08-29 09:01:14.046693,1
00513B9D7E80,1.7,12.0,75.0,2,2024-08-29 09:01:14.994974,1
00513B9D7E80,2.0,12.0,75.0,2,2024-08-29 09:01:16.004928,1
00513B9D7E80,2.2,12.0,75.0,2,2024-08-29 09:01:16.999452,1
00513B9D7E80,2.0,12.0,75.0,2,2024-08-29 09:01:17.990631,1
00513B9D7E80,2.0,12.0,75.0,2,2024-08-29 09:01:18.986945,1
00513B9D7E80,2.0,12.0,75.0,2,2024-08-29 09:01:19.982762,1
00513B9D7E80,1.7,12.0,75.0,2,2024-08-29 09:01:20.984046,1
00513B9D7E80,0.9,17.0,80.0,2,2024-08-29 09:01:21.980116,1
00513B9D7E80,1.2,12.0,75.0,2,2024-08-29 09:01:22.976596,1
00513B9D7E80,2.4,12.0,75.0,2,2024-08-29 09:01:24.042708,1
00513B9D7E80,1.7,12.0,75.0,2,2024-08-29 09:01:24.973092,1
00513B9D7E80,1.7,12.0,70.0,2,2024-08-29 09:01:25.970666,1
00513B9D7E80,1.7,12.0,65.0,2,2024-08-29 09:01:26.970200,1
00513B9D7E80,1.7,17.0,70.0,2,2024-08-29 09:01:27.968100,1
00513B9D7E80,1.7,22.0,75.0,2,2024-08-29 09:01:28.962977,1
00513B9D7E80,1.7,22.0,80.0,2,2024-08-29 09:01:29.971966,1
00513B9D7E80,2.0,22.0,85.0,3,2024-08-29 09:01:30.958319,1
00513B9D7E80,2.4,22.0,86.0,2,2024-08-29 09:01:32.068948,1
00513B9D7E80,2.5,22.0,86.0,2,2024-08-29 09:01:32.955492,1
00513B9D7E80,2.5,19.0,86.0,2,2024-08-29 09:01:33.953523,1
00513B9D7E80,2.2,22.0,91.0,2,2024-08-29 09:01:34.951767,1
00513B9D7E80,2.0,22.0,96.0,2,2024-08-29 09:01:35.947815,1
00513B9D7E80,2.2,22.0,97.0,2,2024-08-29 09:01:36.944420,1
00513B9D7E80,2.6,19.0,97.0,2,2024-08-29 09:01:37.945246,1
00513B9D7E80,2.0,19.0,97.0,2,2024-08-29 09:01:38.941539,1
00513B9D7E80,2.5,19.0,97.0,2,2024-08-29 09:01:39.954560,1
00513B9D7E80,1.5,19.0,97.0,2,2024-08-29 09:01:40.938203,1
00513B9D7E80,2.2,24.0,97.0,3,2024-08-29 09:01:41.934345,1
00513B9D7E80,2.0,19.0,92.0,2,2024-08-29 09:01:42.930545,1
00513B9D7E80,1.4,19.0,87.0,2,2024-08-29 09:01:43.944794,1
00513B9D7E80,1.1,19.0,82.0,3,2024-08-29 09:01:44.926092,1
00513B9D7E80,1.1,24.0,87.0,2,2024-08-29 09:01:45.927692,1
00513B9D7E80,1.0,28.0,92.0,2,2024-08-29 09:01:46.923226,1
