id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,2.5,12.0,56.0,2,2024-08-29 11:32:00.867782,1
00513B9D7E80,2.4,12.0,56.0,2,2024-08-29 11:32:01.865385,1
00513B9D7E80,2.4,12.0,56.0,2,2024-08-29 11:32:02.865032,1
00513B9D7E80,2.4,12.0,56.0,2,2024-08-29 11:32:03.861058,1
00513B9D7E80,2.5,12.0,56.0,2,2024-08-29 11:32:04.859513,1
00513B9D7E80,2.5,12.0,56.0,2,2024-08-29 11:32:05.858044,1
00513B9D7E80,2.5,12.0,56.0,2,2024-08-29 11:32:06.854156,1
00513B9D7E80,1.2,12.0,56.0,2,2024-08-29 11:32:07.862532,1
00513B9D7E80,2.5,10.0,56.0,2,2024-08-29 11:32:08.888920,1
00513B9D7E80,2.4,10.0,56.0,2,2024-08-29 11:32:09.845550,1
00513B9D7E80,2.5,10.0,55.0,2,2024-08-29 11:32:10.846743,1
00513B9D7E80,2.4,11.0,55.0,2,2024-08-29 11:32:11.842608,1
00513B9D7E80,0.9,12.0,55.0,2,2024-08-29 11:32:12.838828,1
00513B9D7E80,2.4,12.0,56.0,2,2024-08-29 11:32:13.840019,1
00513B9D7E80,2.4,17.0,57.0,2,2024-08-29 11:32:14.835954,1
00513B9D7E80,2.5,12.0,57.0,2,2024-08-29 11:32:15.838055,1
00513B9D7E80,2.5,10.0,57.0,2,2024-08-29 11:32:16.832785,1
00513B9D7E80,2.5,12.0,57.0,2,2024-08-29 11:32:17.828877,1
00513B9D7E80,2.4,12.0,57.0,2,2024-08-29 11:32:18.824718,1
00513B9D7E80,2.4,12.0,57.0,2,2024-08-29 11:32:19.850076,1
00513B9D7E80,2.4,12.0,56.0,2,2024-08-29 11:32:20.826196,1
00513B9D7E80,1.5,12.0,56.0,2,2024-08-29 11:32:21.826479,1
00513B9D7E80,1.8,12.0,56.0,2,2024-08-29 11:32:22.818214,1
00513B9D7E80,1.5,12.0,56.0,2,2024-08-29 11:32:23.813869,1
00513B9D7E80,1.2,12.0,56.0,3,2024-08-29 11:32:24.819297,1
00513B9D7E80,1.1,12.0,56.0,3,2024-08-29 11:32:25.810919,1
00513B9D7E80,1.4,14.0,56.0,3,2024-08-29 11:32:26.808101,1
00513B9D7E80,1.7,19.0,61.0,3,2024-08-29 11:32:27.808788,1
00513B9D7E80,1.8,24.0,66.0,2,2024-08-29 11:32:28.805601,1
00513B9D7E80,1.8,29.0,71.0,3,2024-08-29 11:32:29.800453,1
00513B9D7E80,1.8,32.0,76.0,3,2024-08-29 11:32:30.801417,1
00513B9D7E80,2.3,32.0,81.0,2,2024-08-29 11:32:31.824418,1
00513B9D7E80,2.4,34.0,86.0,2,2024-08-29 11:32:32.794641,1
00513B9D7E80,2.4,34.0,90.0,2,2024-08-29 11:32:33.794146,1
00513B9D7E80,1.5,34.0,90.0,2,2024-08-29 11:32:34.798977,1
00513B9D7E80,2.4,34.0,90.0,2,2024-08-29 11:32:35.790360,1
00513B9D7E80,2.4,34.0,89.0,2,2024-08-29 11:32:36.786561,1
00513B9D7E80,2.4,34.0,89.0,2,2024-08-29 11:32:37.783131,1
00513B9D7E80,2.4,34.0,89.0,2,2024-08-29 11:32:38.785785,1
00513B9D7E80,1.5,34.0,89.0,2,2024-08-29 11:32:39.779355,1
00513B9D7E80,2.4,34.0,89.0,2,2024-08-29 11:32:40.781253,1
00513B9D7E80,2.4,34.0,89.0,2,2024-08-29 11:32:41.777046,1
00513B9D7E80,1.8,34.0,89.0,2,2024-08-29 11:32:42.774381,1
00513B9D7E80,1.7,34.0,89.0,2,2024-08-29 11:32:43.768601,1
00513B9D7E80,1.5,32.0,89.0,2,2024-08-29 11:32:44.832748,1
00513B9D7E80,1.6,32.0,89.0,2,2024-08-29 11:32:45.765440,1
00513B9D7E80,1.1,32.0,89.0,2,2024-08-29 11:32:46.900365,1
00513B9D7E80,0.9,32.0,90.0,2,2024-08-29 11:32:47.763028,1
00513B9D7E80,1.6,32.0,90.0,2,2024-08-29 11:32:48.767011,1
00513B9D7E80,1.6,32.0,90.0,2,2024-08-29 11:32:49.753750,1
00513B9D7E80,1.7,32.0,90.0,2,2024-08-29 11:32:50.754037,1
