id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.7,19.0,72.0,2,2024-09-02 10:07:03.308233,1
00513B9D7E80,2.2,24.0,77.0,2,2024-09-02 10:07:04.303990,1
00513B9D7E80,1.7,19.0,72.0,2,2024-09-02 10:07:05.304947,1
00513B9D7E80,1.7,14.0,67.0,2,2024-09-02 10:07:06.302421,1
00513B9D7E80,2.2,19.0,72.0,2,2024-09-02 10:07:07.330679,1
00513B9D7E80,1.2,24.0,77.0,2,2024-09-02 10:07:08.297861,1
00513B9D7E80,1.7,29.0,82.0,2,2024-09-02 10:07:09.357607,1
00513B9D7E80,1.7,24.0,77.0,2,2024-09-02 10:07:10.289770,1
00513B9D7E80,1.7,29.0,82.0,2,2024-09-02 10:07:11.290584,1
00513B9D7E80,2.2,24.0,77.0,2,2024-09-02 10:07:12.286966,1
00513B9D7E80,1.7,19.0,72.0,2,2024-09-02 10:07:13.291852,1
00513B9D7E80,2.2,14.0,67.0,2,2024-09-02 10:07:14.283455,1
00513B9D7E80,1.4,15.0,65.0,2,2024-09-02 10:07:15.279088,1
00513B9D7E80,2.2,10.0,65.0,2,2024-09-02 10:07:16.280134,1
00513B9D7E80,2.2,15.0,65.0,2,2024-09-02 10:07:17.276421,1
00513B9D7E80,2.2,12.0,65.0,2,2024-09-02 10:07:18.272492,1
00513B9D7E80,2.2,12.0,70.0,2,2024-09-02 10:07:19.273325,1
00513B9D7E80,1.7,14.0,65.0,2,2024-09-02 10:07:20.269262,1
00513B9D7E80,1.7,15.0,60.0,2,2024-09-02 10:07:21.265156,1
00513B9D7E80,1.9,10.0,55.0,3,2024-09-02 10:07:22.266084,1
00513B9D7E80,1.9,15.0,60.0,3,2024-09-02 10:07:23.262358,1
00513B9D7E80,1.9,20.0,65.0,2,2024-09-02 10:07:24.258645,1
00513B9D7E80,1.7,25.0,70.0,3,2024-09-02 10:07:25.260728,1
00513B9D7E80,2.4,30.0,75.0,2,2024-09-02 10:07:26.255885,1
00513B9D7E80,2.4,32.0,80.0,2,2024-09-02 10:07:27.260957,1
00513B9D7E80,2.5,32.0,85.0,2,2024-09-02 10:07:28.251818,1
00513B9D7E80,2.4,32.0,89.0,2,2024-09-02 10:07:29.249694,1
00513B9D7E80,2.4,32.0,89.0,2,2024-09-02 10:07:30.248767,1
00513B9D7E80,1.3,32.0,89.0,2,2024-09-02 10:07:31.244868,1
00513B9D7E80,2.4,31.0,89.0,2,2024-09-02 10:07:32.240769,1
00513B9D7E80,2.4,31.0,89.0,2,2024-09-02 10:07:33.241964,1
00513B9D7E80,2.3,32.0,89.0,2,2024-09-02 10:07:34.238042,1
00513B9D7E80,2.0,31.0,89.0,3,2024-09-02 10:07:35.288275,1
00513B9D7E80,1.6,32.0,89.0,2,2024-09-02 10:07:36.235100,1
00513B9D7E80,1.5,31.0,89.0,2,2024-09-02 10:07:37.235887,1
00513B9D7E80,1.5,31.0,89.0,2,2024-09-02 10:07:38.227079,1
00513B9D7E80,1.7,31.0,89.0,2,2024-09-02 10:07:39.291861,1
00513B9D7E80,1.7,32.0,89.0,2,2024-09-02 10:07:40.232702,1
00513B9D7E80,1.7,32.0,89.0,2,2024-09-02 10:07:41.221592,1
00513B9D7E80,2.0,32.0,89.0,2,2024-09-02 10:07:42.219718,1
