id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.7,16.0,55.0,2,2024-09-05 13:49:50.797486,1
00513B9D7E80,1.7,11.0,55.0,2,2024-09-05 13:49:51.824478,1
00513B9D7E80,1.5,11.0,55.0,2,2024-09-05 13:49:52.784894,1
00513B9D7E80,1.7,11.0,55.0,2,2024-09-05 13:49:53.780657,1
00513B9D7E80,1.7,16.0,55.0,2,2024-09-05 13:49:54.776656,1
00513B9D7E80,1.6,21.0,60.0,2,2024-09-05 13:49:55.777732,1
00513B9D7E80,2.2,26.0,65.0,2,2024-09-05 13:49:56.838542,1
00513B9D7E80,1.7,31.0,70.0,2,2024-09-05 13:49:57.769852,1
00513B9D7E80,0.9,26.0,71.0,2,2024-09-05 13:49:58.770684,1
00513B9D7E80,1.9,21.0,71.0,2,2024-09-05 13:49:59.766799,1
00513B9D7E80,1.9,16.0,71.0,2,2024-09-05 13:50:00.845082,1
00513B9D7E80,1.5,18.0,76.0,2,2024-09-05 13:50:01.785413,1
00513B9D7E80,0.9,15.0,71.0,2,2024-09-05 13:50:02.833867,1
00513B9D7E80,1.6,15.0,71.0,2,2024-09-05 13:50:03.756119,1
00513B9D7E80,1.7,15.0,71.0,2,2024-09-05 13:50:04.936881,1
00513B9D7E80,1.7,15.0,71.0,2,2024-09-05 13:50:05.752574,1
00513B9D7E80,1.1,15.0,74.0,2,2024-09-05 13:50:06.753647,1
00513B9D7E80,1.7,15.0,74.0,2,2024-09-05 13:50:07.749950,1
00513B9D7E80,1.5,15.0,74.0,3,2024-09-05 13:50:08.745587,1
00513B9D7E80,1.4,15.0,74.0,2,2024-09-05 13:50:09.822307,1
00513B9D7E80,1.1,15.0,74.0,2,2024-09-05 13:50:10.835685,1
00513B9D7E80,1.1,20.0,74.0,2,2024-09-05 13:50:11.738685,1
00513B9D7E80,1.1,22.0,74.0,2,2024-09-05 13:50:12.740028,1
00513B9D7E80,1.2,22.0,74.0,2,2024-09-05 13:50:13.736454,1
00513B9D7E80,1.4,22.0,74.0,2,2024-09-05 13:50:14.732546,1
00513B9D7E80,1.6,22.0,74.0,2,2024-09-05 13:50:15.733298,1
00513B9D7E80,1.2,22.0,69.0,2,2024-09-05 13:50:16.785918,1
00513B9D7E80,2.4,22.0,64.0,2,2024-09-05 13:50:17.734780,1
00513B9D7E80,0.9,22.0,59.0,2,2024-09-05 13:50:18.732154,1
00513B9D7E80,1.2,22.0,54.0,2,2024-09-05 13:50:19.721527,1
00513B9D7E80,1.2,24.0,57.0,2,2024-09-05 13:50:20.722257,1
00513B9D7E80,1.5,22.0,54.0,2,2024-09-05 13:50:21.810905,1
00513B9D7E80,1.2,22.0,54.0,2,2024-09-05 13:50:22.729624,1
00513B9D7E80,1.4,23.0,54.0,2,2024-09-05 13:50:23.716109,1
00513B9D7E80,1.2,22.0,54.0,2,2024-09-05 13:50:24.711704,1
00513B9D7E80,1.4,24.0,57.0,2,2024-09-05 13:50:25.710678,1
00513B9D7E80,2.4,22.0,57.0,2,2024-09-05 13:50:26.713043,1
00513B9D7E80,2.6,22.0,57.0,2,2024-09-05 13:50:27.705083,1
00513B9D7E80,2.3,24.0,57.0,2,2024-09-05 13:50:28.700985,1
00513B9D7E80,2.2,23.0,57.0,2,2024-09-05 13:50:29.701967,1
00513B9D7E80,1.9,24.0,57.0,3,2024-09-05 13:50:30.919018,1
00513B9D7E80,1.0,23.0,57.0,2,2024-09-05 13:50:31.702654,1
00513B9D7E80,1.2,23.0,57.0,3,2024-09-05 13:50:32.694226,1
00513B9D7E80,1.2,23.0,57.0,3,2024-09-05 13:50:33.689674,1
