id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,2.1,29.0,82.0,2,2024-09-09 16:59:17.126388,1
00513B9D7E80,2.2,29.0,82.0,2,2024-09-09 16:59:18.119441,1
00513B9D7E80,2.1,29.0,82.0,1,2024-09-09 16:59:19.115970,1
00513B9D7E80,2.1,29.0,82.0,1,2024-09-09 16:59:20.116959,1
00513B9D7E80,1.1,29.0,82.0,1,2024-09-09 16:59:21.113740,1
00513B9D7E80,2.0,29.0,82.0,1,2024-09-09 16:59:22.109419,1
00513B9D7E80,2.1,29.0,82.0,1,2024-09-09 16:59:23.110409,1
00513B9D7E80,1.2,29.0,82.0,1,2024-09-09 16:59:24.106430,1
00513B9D7E80,2.2,29.0,82.0,1,2024-09-09 16:59:25.125907,1
00513B9D7E80,0.9,27.0,77.0,1,2024-09-09 16:59:26.105472,1
00513B9D7E80,2.2,29.0,82.0,1,2024-09-09 16:59:27.099703,1
00513B9D7E80,2.3,29.0,82.0,1,2024-09-09 16:59:28.104394,1
00513B9D7E80,2.3,24.0,77.0,1,2024-09-09 16:59:29.095893,1
00513B9D7E80,2.2,19.0,72.0,2,2024-09-09 16:59:30.091731,1
00513B9D7E80,2.2,14.0,67.0,2,2024-09-09 16:59:31.092804,1
00513B9D7E80,2.2,11.0,63.0,2,2024-09-09 16:59:32.088907,1
00513B9D7E80,2.1,12.0,63.0,2,2024-09-09 16:59:33.085266,1
00513B9D7E80,2.1,15.0,58.0,2,2024-09-09 16:59:34.136380,1
00513B9D7E80,2.1,11.0,56.0,2,2024-09-09 16:59:35.082048,1
00513B9D7E80,2.0,11.0,56.0,2,2024-09-09 16:59:36.078938,1
00513B9D7E80,1.7,11.0,52.0,2,2024-09-09 16:59:37.110329,1
00513B9D7E80,1.6,15.0,52.0,3,2024-09-09 16:59:38.078122,1
00513B9D7E80,1.3,20.0,52.0,2,2024-09-09 16:59:39.070543,1
00513B9D7E80,1.1,15.0,52.0,3,2024-09-09 16:59:40.073124,1
00513B9D7E80,1.1,20.0,52.0,2,2024-09-09 16:59:41.068388,1
00513B9D7E80,1.1,15.0,52.0,2,2024-09-09 16:59:42.072717,1
00513B9D7E80,1.0,20.0,57.0,3,2024-09-09 16:59:43.073822,1
00513B9D7E80,1.0,25.0,62.0,2,2024-09-09 16:59:44.060198,1
00513B9D7E80,1.0,30.0,67.0,3,2024-09-09 16:59:45.057135,1
00513B9D7E80,1.4,35.0,72.0,2,2024-09-09 16:59:46.119170,1
00513B9D7E80,1.6,30.0,77.0,3,2024-09-09 16:59:47.077389,1
00513B9D7E80,1.5,29.0,77.0,3,2024-09-09 16:59:48.050133,1
00513B9D7E80,1.7,32.0,82.0,2,2024-09-09 16:59:49.050459,1
00513B9D7E80,1.7,36.0,87.0,2,2024-09-09 16:59:50.046455,1
00513B9D7E80,1.7,36.0,92.0,2,2024-09-09 16:59:51.047727,1
00513B9D7E80,1.5,36.0,97.0,3,2024-09-09 16:59:52.043768,1
00513B9D7E80,1.4,31.0,92.0,2,2024-09-09 16:59:53.082995,1
00513B9D7E80,1.0,26.0,87.0,2,2024-09-09 16:59:54.040948,1
00513B9D7E80,1.0,31.0,92.0,2,2024-09-09 16:59:55.045735,1
00513B9D7E80,1.0,36.0,97.0,2,2024-09-09 16:59:56.032217,1
00513B9D7E80,0.9,31.0,92.0,4,2024-09-09 16:59:57.043210,1
00513B9D7E80,1.0,26.0,87.0,4,2024-09-09 16:59:58.029156,1
00513B9D7E80,0.9,22.0,82.0,4,2024-09-09 16:59:59.025170,1
00513B9D7E80,1.0,17.0,77.0,4,2024-09-09 17:00:00.025659,1
00513B9D7E80,1.0,16.0,72.0,4,2024-09-09 17:00:01.022011,1
00513B9D7E80,1.0,21.0,67.0,4,2024-09-09 17:00:02.018409,1
00513B9D7E80,1.0,26.0,72.0,2,2024-09-09 17:00:03.018865,1
00513B9D7E80,1.1,21.0,72.0,2,2024-09-09 17:00:04.015533,1
00513B9D7E80,1.4,17.0,72.0,2,2024-09-09 17:00:05.147270,1
00513B9D7E80,1.4,17.0,72.0,2,2024-09-09 17:00:06.013115,1
00513B9D7E80,1.3,22.0,77.0,2,2024-09-09 17:00:07.009720,1
00513B9D7E80,1.4,27.0,82.0,2,2024-09-09 17:00:08.006415,1
00513B9D7E80,1.4,32.0,82.0,2,2024-09-09 17:00:09.013802,1
00513B9D7E80,1.3,27.0,77.0,2,2024-09-09 17:00:10.000489,1
00513B9D7E80,1.2,32.0,82.0,2,2024-09-09 17:00:11.001595,1
00513B9D7E80,1.2,36.0,82.0,2,2024-09-09 17:00:11.998455,1
00513B9D7E80,1.3,36.0,82.0,2,2024-09-09 17:00:13.072079,1
00513B9D7E80,1.4,36.0,82.0,2,2024-09-09 17:00:13.997777,1
00513B9D7E80,1.4,36.0,82.0,2,2024-09-09 17:00:14.992525,1
