id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.5,0.0,0.0,2,2024-08-12 17:10:11.919443,1
00513B9D7E80,0.9,0.0,0.0,2,2024-08-12 17:10:12.915546,1
00513B9D7E80,0.9,0.0,0.0,2,2024-08-12 17:10:13.969303,1
00513B9D7E80,1.0,0.0,0.0,2,2024-08-12 17:10:14.915237,1
00513B9D7E80,0.9,0.0,0.0,3,2024-08-12 17:10:15.909176,1
00513B9D7E80,0.9,10.0,0.0,2,2024-08-12 17:10:16.884523,1
00513B9D7E80,1.1,10.0,54.0,2,2024-08-12 17:10:17.884986,1
00513B9D7E80,1.5,10.0,54.0,3,2024-08-12 17:10:18.880963,1
00513B9D7E80,1.3,15.0,54.0,3,2024-08-12 17:10:19.885923,1
00513B9D7E80,0.9,10.0,54.0,3,2024-08-12 17:10:20.877272,1
00513B9D7E80,0.9,10.0,55.0,2,2024-08-12 17:10:21.873202,1
00513B9D7E80,0.8,15.0,55.0,3,2024-08-12 17:10:22.869410,1
00513B9D7E80,0.9,18.0,55.0,3,2024-08-12 17:10:23.870881,1
00513B9D7E80,0.8,23.0,60.0,3,2024-08-12 17:10:24.866496,1
00513B9D7E80,0.8,18.0,65.0,2,2024-08-12 17:10:25.867129,1
00513B9D7E80,0.9,14.0,70.0,2,2024-08-12 17:10:26.868222,1
00513B9D7E80,0.9,12.0,70.0,2,2024-08-12 17:10:27.894186,1
00513B9D7E80,0.9,14.0,70.0,2,2024-08-12 17:10:28.896615,1
00513B9D7E80,0.9,15.0,70.0,2,2024-08-12 17:10:29.856752,1
00513B9D7E80,0.9,17.0,70.0,2,2024-08-12 17:10:30.853124,1
00513B9D7E80,0.9,16.0,70.0,2,2024-08-12 17:10:31.854303,1
00513B9D7E80,0.9,16.0,71.0,2,2024-08-12 17:10:32.858626,1
00513B9D7E80,0.9,17.0,71.0,2,2024-08-12 17:10:33.844676,1
00513B9D7E80,0.9,17.0,71.0,2,2024-08-12 17:10:34.845624,1
00513B9D7E80,0.9,16.0,71.0,2,2024-08-12 17:10:35.842157,1
00513B9D7E80,0.9,15.0,71.0,2,2024-08-12 17:10:36.909678,1
00513B9D7E80,0.9,17.0,71.0,2,2024-08-12 17:10:37.839218,1
00513B9D7E80,0.9,16.0,71.0,2,2024-08-12 17:10:38.835123,1
00513B9D7E80,0.9,15.0,71.0,2,2024-08-12 17:10:39.830530,1
00513B9D7E80,0.9,15.0,71.0,2,2024-08-12 17:10:40.832146,1
00513B9D7E80,0.9,17.0,71.0,2,2024-08-12 17:10:41.828192,1
00513B9D7E80,0.9,16.0,71.0,2,2024-08-12 17:10:42.824245,1
00513B9D7E80,0.9,16.0,71.0,2,2024-08-12 17:10:43.825105,1
