id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.4,12.0,76.0,3,2024-08-12 16:52:48.226324,1
00513B9D7E80,1.4,12.0,76.0,2,2024-08-12 16:52:49.231027,1
00513B9D7E80,1.4,14.0,76.0,2,2024-08-12 16:52:50.221983,1
00513B9D7E80,1.4,14.0,71.0,2,2024-08-12 16:52:51.217990,1
00513B9D7E80,1.4,10.0,66.0,2,2024-08-12 16:52:52.222243,1
00513B9D7E80,1.4,12.0,61.0,2,2024-08-12 16:52:53.215066,1
00513B9D7E80,1.4,12.0,57.0,2,2024-08-12 16:52:54.211615,1
00513B9D7E80,1.4,14.0,57.0,2,2024-08-12 16:52:55.207146,1
00513B9D7E80,1.4,14.0,57.0,2,2024-08-12 16:52:56.208629,1
00513B9D7E80,0.9,14.0,62.0,2,2024-08-12 16:52:57.204686,1
00513B9D7E80,1.7,14.0,67.0,2,2024-08-12 16:52:58.201148,1
00513B9D7E80,1.8,14.0,72.0,2,2024-08-12 16:52:59.201596,1
00513B9D7E80,2.3,12.0,72.0,2,2024-08-12 16:53:00.197765,1
00513B9D7E80,2.4,12.0,72.0,2,2024-08-12 16:53:01.229837,1
00513B9D7E80,0.9,14.0,72.0,2,2024-08-12 16:53:02.203720,1
00513B9D7E80,0.9,12.0,72.0,2,2024-08-12 16:53:03.191688,1
