id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,0.9,32.0,96.0,4,2024-08-12 16:55:54.799626,1
00513B9D7E80,0.9,31.0,96.0,4,2024-08-12 16:55:55.795900,1
00513B9D7E80,0.9,36.0,96.0,4,2024-08-12 16:55:56.806077,1
00513B9D7E80,0.9,36.0,91.0,2,2024-08-12 16:55:57.791405,1
00513B9D7E80,0.9,31.0,86.0,2,2024-08-12 16:55:58.793239,1
00513B9D7E80,0.9,36.0,91.0,4,2024-08-12 16:55:59.883447,1
00513B9D7E80,0.9,36.0,94.0,4,2024-08-12 16:56:00.905162,1
00513B9D7E80,0.9,38.0,94.0,2,2024-08-12 16:56:01.828854,1
00513B9D7E80,0.9,33.0,89.0,2,2024-08-12 16:56:02.781522,1
00513B9D7E80,0.9,38.0,89.0,2,2024-08-12 16:56:03.777785,1
00513B9D7E80,0.9,36.0,89.0,2,2024-08-12 16:56:04.802516,1
00513B9D7E80,0.9,36.0,89.0,2,2024-08-12 16:56:05.823091,1
00513B9D7E80,0.9,36.0,89.0,2,2024-08-12 16:56:06.845694,1
00513B9D7E80,0.9,36.0,89.0,3,2024-08-12 16:56:07.771699,1
00513B9D7E80,0.9,38.0,89.0,3,2024-08-12 16:56:08.767902,1
00513B9D7E80,0.9,33.0,84.0,4,2024-08-12 16:56:09.772580,1
00513B9D7E80,0.9,38.0,89.0,2,2024-08-12 16:56:10.764409,1
00513B9D7E80,0.9,38.0,89.0,4,2024-08-12 16:56:11.760915,1
00513B9D7E80,1.2,38.0,89.0,2,2024-08-12 16:56:12.786944,1
00513B9D7E80,1.0,38.0,89.0,2,2024-08-12 16:56:13.757035,1
00513B9D7E80,0.9,38.0,89.0,2,2024-08-12 16:56:14.753275,1
00513B9D7E80,0.9,38.0,89.0,2,2024-08-12 16:56:15.754767,1
00513B9D7E80,0.9,38.0,89.0,2,2024-08-12 16:56:16.802005,1
00513B9D7E80,0.9,33.0,89.0,2,2024-08-12 16:56:17.806319,1
00513B9D7E80,0.9,31.0,89.0,2,2024-08-12 16:56:18.747645,1
00513B9D7E80,0.8,31.0,89.0,2,2024-08-12 16:56:19.751187,1
00513B9D7E80,1.7,26.0,84.0,2,2024-08-12 16:56:20.774296,1
00513B9D7E80,0.9,21.0,79.0,2,2024-08-12 16:56:21.742341,1
00513B9D7E80,1.7,16.0,74.0,2,2024-08-12 16:56:22.748054,1
00513B9D7E80,1.7,11.0,69.0,2,2024-08-12 16:56:23.743188,1
00513B9D7E80,0.9,10.0,64.0,2,2024-08-12 16:56:24.733287,1
00513B9D7E80,0.9,10.0,59.0,2,2024-08-12 16:56:25.728690,1
00513B9D7E80,1.7,10.0,56.0,2,2024-08-12 16:56:26.729173,1
00513B9D7E80,2.0,10.0,56.0,2,2024-08-12 16:56:27.835929,1
00513B9D7E80,2.0,10.0,56.0,2,2024-08-12 16:56:28.761669,1
00513B9D7E80,0.9,10.0,56.0,2,2024-08-12 16:56:29.722436,1
00513B9D7E80,1.2,10.0,56.0,2,2024-08-12 16:56:30.718402,1
00513B9D7E80,0.9,10.0,56.0,2,2024-08-12 16:56:31.714874,1
00513B9D7E80,0.9,15.0,56.0,3,2024-08-12 16:56:32.715665,1
00513B9D7E80,0.9,17.0,56.0,3,2024-08-12 16:56:33.778741,1
00513B9D7E80,0.9,22.0,61.0,4,2024-08-12 16:56:34.708100,1
00513B9D7E80,1.3,27.0,66.0,2,2024-08-12 16:56:35.709060,1
00513B9D7E80,2.2,32.0,71.0,2,2024-08-12 16:56:36.713224,1
00513B9D7E80,2.0,37.0,76.0,2,2024-08-12 16:56:37.699654,1
00513B9D7E80,2.0,37.0,81.0,2,2024-08-12 16:56:38.701177,1
00513B9D7E80,1.5,37.0,86.0,2,2024-08-12 16:56:39.696777,1
00513B9D7E80,2.2,37.0,89.0,2,2024-08-12 16:56:40.693034,1
00513B9D7E80,2.2,32.0,84.0,2,2024-08-12 16:56:41.729514,1
00513B9D7E80,1.5,27.0,79.0,2,2024-08-12 16:56:42.690363,1
00513B9D7E80,2.3,22.0,74.0,2,2024-08-12 16:56:43.686324,1
