id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,0.9,31.0,80.0,2,2024-08-12 16:50:08.614736,1
00513B9D7E80,0.9,27.0,75.0,2,2024-08-12 16:50:09.588609,1
00513B9D7E80,0.9,28.0,70.0,2,2024-08-12 16:50:10.585977,1
00513B9D7E80,1.7,28.0,69.0,2,2024-08-12 16:50:11.580945,1
00513B9D7E80,1.7,25.0,69.0,2,2024-08-12 16:50:12.581885,1
00513B9D7E80,1.7,25.0,69.0,2,2024-08-12 16:50:13.577221,1
00513B9D7E80,2.0,25.0,69.0,2,2024-08-12 16:50:14.576670,1
00513B9D7E80,1.7,25.0,69.0,2,2024-08-12 16:50:15.574827,1
00513B9D7E80,2.0,28.0,69.0,2,2024-08-12 16:50:16.571444,1
00513B9D7E80,1.7,28.0,69.0,2,2024-08-12 16:50:17.578466,1
00513B9D7E80,0.8,23.0,64.0,2,2024-08-12 16:50:18.572604,1
00513B9D7E80,0.9,18.0,59.0,2,2024-08-12 16:50:19.563625,1
00513B9D7E80,0.9,13.0,54.0,2,2024-08-12 16:50:20.560379,1
00513B9D7E80,0.9,18.0,59.0,2,2024-08-12 16:50:21.569126,1
00513B9D7E80,0.9,21.0,54.0,2,2024-08-12 16:50:22.555811,1
00513B9D7E80,0.9,26.0,59.0,2,2024-08-12 16:50:23.552196,1
00513B9D7E80,1.7,21.0,59.0,2,2024-08-12 16:50:24.553153,1
00513B9D7E80,1.9,21.0,59.0,2,2024-08-12 16:50:25.550334,1
00513B9D7E80,0.9,16.0,59.0,2,2024-08-12 16:50:26.665002,1
00513B9D7E80,0.9,11.0,59.0,2,2024-08-12 16:50:27.548062,1
00513B9D7E80,0.9,16.0,59.0,2,2024-08-12 16:50:28.553569,1
00513B9D7E80,0.9,12.0,59.0,2,2024-08-12 16:50:29.544427,1
00513B9D7E80,0.9,14.0,59.0,2,2024-08-12 16:50:30.657224,1
00513B9D7E80,1.7,14.0,59.0,2,2024-08-12 16:50:31.536101,1
00513B9D7E80,1.0,12.0,59.0,2,2024-08-12 16:50:32.538918,1
00513B9D7E80,0.9,12.0,59.0,2,2024-08-12 16:50:33.532505,1
00513B9D7E80,1.1,12.0,59.0,2,2024-08-12 16:50:34.537150,1
00513B9D7E80,1.5,14.0,59.0,2,2024-08-12 16:50:35.528403,1
00513B9D7E80,1.5,19.0,59.0,2,2024-08-12 16:50:36.524619,1
00513B9D7E80,2.0,14.0,59.0,2,2024-08-12 16:50:37.520584,1
00513B9D7E80,0.9,12.0,59.0,2,2024-08-12 16:50:38.521137,1
00513B9D7E80,1.0,17.0,59.0,2,2024-08-12 16:50:39.540620,1
00513B9D7E80,0.9,14.0,59.0,2,2024-08-12 16:50:40.513027,1
00513B9D7E80,1.0,12.0,59.0,2,2024-08-12 16:50:41.514740,1
00513B9D7E80,0.9,12.0,59.0,2,2024-08-12 16:50:42.511305,1
00513B9D7E80,1.3,12.0,59.0,2,2024-08-12 16:50:43.514797,1
00513B9D7E80,0.9,12.0,59.0,2,2024-08-12 16:50:44.584356,1
00513B9D7E80,1.0,12.0,59.0,2,2024-08-12 16:50:45.613423,1
00513B9D7E80,1.0,14.0,59.0,2,2024-08-12 16:50:46.505288,1
00513B9D7E80,0.9,14.0,59.0,3,2024-08-12 16:50:47.500495,1
00513B9D7E80,0.9,14.0,63.0,2,2024-08-12 16:50:48.505529,1
00513B9D7E80,0.9,19.0,63.0,3,2024-08-12 16:50:49.505896,1
00513B9D7E80,1.0,23.0,63.0,3,2024-08-12 16:50:50.497820,1
00513B9D7E80,0.9,23.0,63.0,2,2024-08-12 16:50:51.498467,1
00513B9D7E80,0.9,18.0,63.0,2,2024-08-12 16:50:52.498988,1
00513B9D7E80,0.9,14.0,63.0,2,2024-08-12 16:50:53.490476,1
00513B9D7E80,0.9,14.0,63.0,2,2024-08-12 16:50:54.481685,1
00513B9D7E80,0.9,14.0,59.0,2,2024-08-12 16:50:55.482656,1
00513B9D7E80,0.9,19.0,59.0,2,2024-08-12 16:50:56.488672,1
00513B9D7E80,0.9,14.0,54.0,2,2024-08-12 16:50:57.474852,1
00513B9D7E80,0.9,14.0,52.0,2,2024-08-12 16:50:58.547091,1
00513B9D7E80,2.4,19.0,57.0,2,2024-08-12 16:50:59.471753,1
00513B9D7E80,0.9,23.0,62.0,3,2024-08-12 16:51:00.468578,1
00513B9D7E80,2.0,18.0,57.0,2,2024-08-12 16:51:01.477584,1
00513B9D7E80,1.0,13.0,52.0,2,2024-08-12 16:51:02.476105,1
00513B9D7E80,0.9,10.0,52.0,2,2024-08-12 16:51:03.465377,1
00513B9D7E80,0.9,15.0,52.0,2,2024-08-12 16:51:04.460721,1
00513B9D7E80,1.5,16.0,52.0,2,2024-08-12 16:51:05.457205,1
00513B9D7E80,1.5,16.0,52.0,2,2024-08-12 16:51:06.498531,1
00513B9D7E80,1.5,11.0,52.0,2,2024-08-12 16:51:07.521673,1
00513B9D7E80,1.2,16.0,57.0,3,2024-08-12 16:51:08.449889,1
00513B9D7E80,0.9,21.0,62.0,2,2024-08-12 16:51:09.451603,1
00513B9D7E80,1.1,16.0,57.0,3,2024-08-12 16:51:10.492077,1
00513B9D7E80,1.3,11.0,52.0,2,2024-08-12 16:51:11.444797,1
00513B9D7E80,0.9,10.0,52.0,2,2024-08-12 16:51:12.444332,1
00513B9D7E80,0.9,10.0,52.0,2,2024-08-12 16:51:13.440800,1
00513B9D7E80,0.8,10.0,52.0,2,2024-08-12 16:51:14.441703,1
00513B9D7E80,0.9,10.0,52.0,2,2024-08-12 16:51:15.506624,1
00513B9D7E80,0.9,10.0,52.0,2,2024-08-12 16:51:16.440178,1
00513B9D7E80,0.9,10.0,57.0,2,2024-08-12 16:51:17.435087,1
00513B9D7E80,0.9,10.0,62.0,2,2024-08-12 16:51:18.429138,1
00513B9D7E80,1.7,10.0,67.0,2,2024-08-12 16:51:19.425196,1
00513B9D7E80,1.7,10.0,72.0,2,2024-08-12 16:51:20.426237,1
00513B9D7E80,0.9,10.0,72.0,2,2024-08-12 16:51:21.422835,1
00513B9D7E80,0.9,10.0,72.0,2,2024-08-12 16:51:22.421940,1
00513B9D7E80,0.9,10.0,67.0,2,2024-08-12 16:51:23.426218,1
00513B9D7E80,0.9,10.0,62.0,2,2024-08-12 16:51:24.421244,1
00513B9D7E80,0.9,10.0,59.0,2,2024-08-12 16:51:25.413325,1
00513B9D7E80,0.9,10.0,59.0,2,2024-08-12 16:51:26.479424,1
00513B9D7E80,1.0,10.0,59.0,3,2024-08-12 16:51:27.408928,1
00513B9D7E80,0.9,10.0,59.0,3,2024-08-12 16:51:28.515093,1
00513B9D7E80,2.0,10.0,59.0,2,2024-08-12 16:51:29.406040,1
00513B9D7E80,2.1,10.0,59.0,2,2024-08-12 16:51:30.400890,1
00513B9D7E80,0.9,10.0,59.0,2,2024-08-12 16:51:31.404514,1
00513B9D7E80,0.9,10.0,59.0,2,2024-08-12 16:51:32.403933,1
00513B9D7E80,0.9,10.0,59.0,2,2024-08-12 16:51:33.429436,1
00513B9D7E80,1.0,10.0,64.0,2,2024-08-12 16:51:34.456314,1
00513B9D7E80,0.9,10.0,69.0,2,2024-08-12 16:51:35.435094,1
00513B9D7E80,1.5,10.0,74.0,2,2024-08-12 16:51:36.388788,1
00513B9D7E80,0.9,10.0,74.0,2,2024-08-12 16:51:37.388033,1
00513B9D7E80,0.9,10.0,74.0,2,2024-08-12 16:51:38.383824,1
00513B9D7E80,2.0,10.0,74.0,2,2024-08-12 16:51:39.379941,1
00513B9D7E80,0.9,10.0,74.0,2,2024-08-12 16:51:40.381911,1
00513B9D7E80,0.9,14.0,69.0,2,2024-08-12 16:51:41.385902,1
00513B9D7E80,0.9,19.0,74.0,2,2024-08-12 16:51:42.377150,1
