id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,0.9,12.0,52.0,2,2024-08-29 13:42:09.303684,1
00513B9D7E80,2.2,12.0,52.0,2,2024-08-29 13:42:10.304452,1
00513B9D7E80,2.2,12.0,52.0,2,2024-08-29 13:42:11.300788,1
00513B9D7E80,2.3,12.0,52.0,2,2024-08-29 13:42:12.296290,1
00513B9D7E80,2.0,12.0,57.0,2,2024-08-29 13:42:13.306160,1
00513B9D7E80,2.2,12.0,52.0,2,2024-08-29 13:42:14.292710,1
00513B9D7E80,2.1,12.0,52.0,2,2024-08-29 13:42:15.291367,1
00513B9D7E80,1.7,12.0,52.0,2,2024-08-29 13:42:16.289797,1
00513B9D7E80,1.7,12.0,52.0,2,2024-08-29 13:42:17.286450,1
00513B9D7E80,1.5,12.0,52.0,2,2024-08-29 13:42:18.366266,1
00513B9D7E80,1.5,12.0,52.0,2,2024-08-29 13:42:19.286898,1
00513B9D7E80,1.3,12.0,52.0,2,2024-08-29 13:42:20.318417,1
00513B9D7E80,1.3,10.0,52.0,2,2024-08-29 13:42:21.339092,1
00513B9D7E80,1.3,15.0,57.0,3,2024-08-29 13:42:22.276606,1
00513B9D7E80,1.4,10.0,52.0,3,2024-08-29 13:42:23.271603,1
00513B9D7E80,1.4,15.0,57.0,3,2024-08-29 13:42:24.272833,1
00513B9D7E80,1.5,20.0,62.0,3,2024-08-29 13:42:25.268756,1
00513B9D7E80,1.5,25.0,67.0,3,2024-08-29 13:42:26.264786,1
00513B9D7E80,1.7,30.0,70.0,2,2024-08-29 13:42:27.275841,1
00513B9D7E80,1.7,30.0,70.0,2,2024-08-29 13:42:28.357948,1
