id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.2,27.0,67.0,2,2024-08-29 15:19:10.668108,1
00513B9D7E80,1.5,27.0,63.0,2,2024-08-29 15:19:11.663116,1
00513B9D7E80,1.3,27.0,63.0,2,2024-08-29 15:19:12.658994,1
00513B9D7E80,1.3,27.0,63.0,2,2024-08-29 15:19:13.740197,1
00513B9D7E80,1.2,27.0,68.0,1,2024-08-29 15:19:14.785082,1
00513B9D7E80,1.2,27.0,73.0,2,2024-08-29 15:19:15.706551,1
00513B9D7E80,1.1,27.0,78.0,1,2024-08-29 15:19:16.652399,1
00513B9D7E80,1.1,22.0,83.0,1,2024-08-29 15:19:17.648077,1
00513B9D7E80,1.1,21.0,88.0,1,2024-08-29 15:19:18.648846,1
00513B9D7E80,1.2,26.0,93.0,1,2024-08-29 15:19:19.645141,1
00513B9D7E80,1.4,27.0,94.0,1,2024-08-29 15:19:20.640917,1
00513B9D7E80,1.4,27.0,94.0,1,2024-08-29 15:19:21.641917,1
00513B9D7E80,1.6,28.0,94.0,1,2024-08-29 15:19:22.638082,1
00513B9D7E80,1.5,27.0,94.0,1,2024-08-29 15:19:23.634167,1
00513B9D7E80,1.6,22.0,94.0,1,2024-08-29 15:19:24.635217,1
00513B9D7E80,2.3,18.0,89.0,1,2024-08-29 15:19:25.637763,1
00513B9D7E80,2.3,16.0,84.0,2,2024-08-29 15:19:26.627164,1
00513B9D7E80,2.3,18.0,79.0,2,2024-08-29 15:19:27.637190,1
00513B9D7E80,2.3,18.0,74.0,2,2024-08-29 15:19:28.623105,1
00513B9D7E80,2.4,16.0,69.0,2,2024-08-29 15:19:29.627169,1
00513B9D7E80,2.4,16.0,68.0,2,2024-08-29 15:19:30.655793,1
