id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,2.2,10.0,63.0,2,2024-09-02 10:30:07.235155,1
00513B9D7E80,2.3,10.0,63.0,2,2024-09-02 10:30:08.081660,1
00513B9D7E80,1.5,10.0,63.0,2,2024-09-02 10:30:09.083923,1
00513B9D7E80,2.1,10.0,63.0,2,2024-09-02 10:30:10.080645,1
00513B9D7E80,1.2,10.0,63.0,2,2024-09-02 10:30:11.074748,1
00513B9D7E80,2.2,10.0,63.0,2,2024-09-02 10:30:12.071086,1
00513B9D7E80,2.2,10.0,63.0,2,2024-09-02 10:30:13.071963,1
00513B9D7E80,2.2,10.0,63.0,2,2024-09-02 10:30:14.076828,1
00513B9D7E80,2.0,10.0,63.0,2,2024-09-02 10:30:15.068305,1
00513B9D7E80,2.3,10.0,63.0,2,2024-09-02 10:30:16.064170,1
00513B9D7E80,2.3,10.0,63.0,2,2024-09-02 10:30:17.060202,1
00513B9D7E80,2.3,10.0,63.0,2,2024-09-02 10:30:18.106328,1
00513B9D7E80,2.2,10.0,63.0,2,2024-09-02 10:30:19.057339,1
00513B9D7E80,1.8,10.0,63.0,2,2024-09-02 10:30:20.053422,1
00513B9D7E80,2.0,10.0,63.0,2,2024-09-02 10:30:21.054399,1
00513B9D7E80,1.8,10.0,63.0,2,2024-09-02 10:30:22.049931,1
00513B9D7E80,2.0,10.0,63.0,2,2024-09-02 10:30:23.046030,1
00513B9D7E80,2.0,10.0,63.0,2,2024-09-02 10:30:24.047239,1
00513B9D7E80,1.7,15.0,63.0,2,2024-09-02 10:30:25.043278,1
00513B9D7E80,1.7,16.0,63.0,2,2024-09-02 10:30:26.039398,1
00513B9D7E80,1.7,11.0,63.0,2,2024-09-02 10:30:27.048867,1
00513B9D7E80,1.3,16.0,63.0,2,2024-09-02 10:30:28.035418,1
00513B9D7E80,1.2,11.0,63.0,2,2024-09-02 10:30:29.062032,1
00513B9D7E80,1.2,15.0,58.0,2,2024-09-02 10:30:30.032454,1
00513B9D7E80,1.2,15.0,53.0,2,2024-09-02 10:30:31.028564,1
00513B9D7E80,1.1,15.0,52.0,2,2024-09-02 10:30:32.029849,1
00513B9D7E80,1.0,10.0,52.0,2,2024-09-02 10:30:33.025794,1
00513B9D7E80,1.0,15.0,57.0,2,2024-09-02 10:30:34.021918,1
00513B9D7E80,1.1,20.0,62.0,2,2024-09-02 10:30:35.023874,1
00513B9D7E80,1.0,25.0,67.0,2,2024-09-02 10:30:36.022539,1
00513B9D7E80,1.0,30.0,72.0,1,2024-09-02 10:30:37.050194,1
00513B9D7E80,1.0,30.0,77.0,2,2024-09-02 10:30:38.015859,1
00513B9D7E80,1.2,34.0,82.0,3,2024-09-02 10:30:39.011553,1
00513B9D7E80,1.2,34.0,87.0,2,2024-09-02 10:30:40.007777,1
00513B9D7E80,1.1,30.0,82.0,2,2024-09-02 10:30:41.017935,1
00513B9D7E80,1.2,30.0,81.0,2,2024-09-02 10:30:42.004052,1
00513B9D7E80,1.4,30.0,81.0,2,2024-09-02 10:30:43.005015,1
00513B9D7E80,1.5,35.0,86.0,2,2024-09-02 10:30:44.001394,1
00513B9D7E80,1.5,37.0,91.0,2,2024-09-02 10:30:44.997676,1
00513B9D7E80,1.6,32.0,86.0,2,2024-09-02 10:30:46.000038,1
00513B9D7E80,1.6,37.0,91.0,2,2024-09-02 10:30:47.002253,1
00513B9D7E80,1.7,32.0,86.0,2,2024-09-02 10:30:47.992476,1
