id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,2.5,18.0,59.0,1,2024-09-02 10:59:06.142926,1
00513B9D7E80,2.4,22.0,59.0,1,2024-09-02 10:59:07.143492,1
00513B9D7E80,0.9,22.0,59.0,1,2024-09-02 10:59:08.140993,1
00513B9D7E80,1.9,22.0,59.0,2,2024-09-02 10:59:09.135546,1
00513B9D7E80,1.6,22.0,59.0,2,2024-09-02 10:59:10.137852,1
00513B9D7E80,1.5,22.0,59.0,2,2024-09-02 10:59:11.132920,1
00513B9D7E80,1.5,23.0,59.0,2,2024-09-02 10:59:12.128744,1
00513B9D7E80,1.4,23.0,59.0,2,2024-09-02 10:59:13.129873,1
00513B9D7E80,0.9,22.0,59.0,2,2024-09-02 10:59:14.125471,1
00513B9D7E80,1.3,27.0,64.0,2,2024-09-02 10:59:15.121572,1
00513B9D7E80,1.3,32.0,69.0,2,2024-09-02 10:59:16.137009,1
00513B9D7E80,1.2,37.0,74.0,2,2024-09-02 10:59:17.127097,1
00513B9D7E80,1.1,37.0,79.0,2,2024-09-02 10:59:18.114053,1
00513B9D7E80,1.1,37.0,84.0,2,2024-09-02 10:59:19.115331,1
00513B9D7E80,1.1,38.0,89.0,2,2024-09-02 10:59:20.112721,1
00513B9D7E80,1.1,33.0,94.0,1,2024-09-02 10:59:21.107406,1
00513B9D7E80,1.0,28.0,99.0,2,2024-09-02 10:59:22.108464,1
00513B9D7E80,1.0,27.0,103.0,2,2024-09-02 10:59:23.104210,1
00513B9D7E80,1.0,22.0,98.0,2,2024-09-02 10:59:24.100840,1
00513B9D7E80,1.0,17.0,93.0,2,2024-09-02 10:59:25.101675,1
00513B9D7E80,1.0,12.0,88.0,2,2024-09-02 10:59:26.097425,1
00513B9D7E80,1.0,17.0,93.0,2,2024-09-02 10:59:27.093372,1
00513B9D7E80,1.0,14.0,88.0,2,2024-09-02 10:59:28.094700,1
00513B9D7E80,1.1,14.0,83.0,2,2024-09-02 10:59:29.136103,1
00513B9D7E80,1.1,14.0,78.0,2,2024-09-02 10:59:30.090582,1
00513B9D7E80,1.1,14.0,77.0,2,2024-09-02 10:59:31.093321,1
00513B9D7E80,1.1,14.0,77.0,2,2024-09-02 10:59:32.082425,1
00513B9D7E80,1.3,14.0,77.0,2,2024-09-02 10:59:33.083894,1
00513B9D7E80,1.4,14.0,77.0,2,2024-09-02 10:59:34.079680,1
00513B9D7E80,1.4,14.0,77.0,2,2024-09-02 10:59:35.075977,1
00513B9D7E80,1.5,14.0,76.0,2,2024-09-02 10:59:36.077173,1
00513B9D7E80,0.9,14.0,76.0,2,2024-09-02 10:59:37.073073,1
00513B9D7E80,1.8,14.0,76.0,2,2024-09-02 10:59:38.132455,1
00513B9D7E80,2.0,14.0,76.0,2,2024-09-02 10:59:39.071418,1
00513B9D7E80,2.0,14.0,76.0,2,2024-09-02 10:59:40.065882,1
00513B9D7E80,2.0,14.0,76.0,2,2024-09-02 10:59:41.062235,1
00513B9D7E80,1.4,14.0,76.0,2,2024-09-02 10:59:42.063376,1
00513B9D7E80,1.8,14.0,76.0,2,2024-09-02 10:59:43.067382,1
