id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,2.3,25.0,58.0,2,2024-09-02 14:09:25.046981,1
00513B9D7E80,2.2,25.0,58.0,2,2024-09-02 14:09:26.032477,1
00513B9D7E80,2.0,25.0,58.0,2,2024-09-02 14:09:27.028041,1
00513B9D7E80,1.5,25.0,58.0,2,2024-09-02 14:09:28.063806,1
00513B9D7E80,1.1,25.0,58.0,2,2024-09-02 14:09:29.025406,1
00513B9D7E80,0.9,30.0,63.0,2,2024-09-02 14:09:30.144249,1
00513B9D7E80,0.9,25.0,59.0,1,2024-09-02 14:09:31.065857,1
00513B9D7E80,2.4,20.0,59.0,1,2024-09-02 14:09:32.091934,1
00513B9D7E80,2.5,15.0,59.0,1,2024-09-02 14:09:33.014205,1
00513B9D7E80,2.4,17.0,59.0,1,2024-09-02 14:09:34.014916,1
00513B9D7E80,1.5,22.0,63.0,1,2024-09-02 14:09:35.052749,1
00513B9D7E80,2.5,24.0,59.0,1,2024-09-02 14:09:36.007145,1
00513B9D7E80,2.5,24.0,59.0,1,2024-09-02 14:09:37.008304,1
00513B9D7E80,1.5,24.0,59.0,3,2024-09-02 14:09:38.012715,1
