id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.1,14.0,58.0,2,2024-09-02 17:15:14.453475,1
00513B9D7E80,2.1,14.0,58.0,2,2024-09-02 17:15:15.449924,1
00513B9D7E80,2.1,14.0,58.0,2,2024-09-02 17:15:16.450928,1
00513B9D7E80,1.8,14.0,62.0,2,2024-09-02 17:15:17.446858,1
00513B9D7E80,0.9,14.0,62.0,2,2024-09-02 17:15:18.442565,1
00513B9D7E80,2.0,14.0,64.0,2,2024-09-02 17:15:19.444784,1
00513B9D7E80,2.0,14.0,64.0,2,2024-09-02 17:15:20.439929,1
00513B9D7E80,2.0,14.0,64.0,2,2024-09-02 17:15:21.436300,1
00513B9D7E80,2.0,14.0,64.0,2,2024-09-02 17:15:22.436911,1
00513B9D7E80,2.0,14.0,62.0,2,2024-09-02 17:15:23.433097,1
00513B9D7E80,2.0,19.0,64.0,3,2024-09-02 17:15:24.429427,1
00513B9D7E80,2.1,24.0,69.0,2,2024-09-02 17:15:25.530113,1
00513B9D7E80,2.3,29.0,71.0,2,2024-09-02 17:15:26.426461,1
00513B9D7E80,2.4,29.0,76.0,2,2024-09-02 17:15:27.430749,1
00513B9D7E80,2.3,24.0,71.0,2,2024-09-02 17:15:28.425038,1
00513B9D7E80,2.4,29.0,76.0,2,2024-09-02 17:15:29.418806,1
00513B9D7E80,2.3,24.0,71.0,2,2024-09-02 17:15:30.419558,1
00513B9D7E80,1.5,29.0,76.0,2,2024-09-02 17:15:31.416363,1
