id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,2.0,12.0,59.0,2,2024-09-03 15:32:29.502511,1
00513B9D7E80,1.7,12.0,59.0,2,2024-09-03 15:32:30.424498,1
00513B9D7E80,1.6,12.0,59.0,2,2024-09-03 15:32:31.424984,1
00513B9D7E80,1.5,12.0,59.0,2,2024-09-03 15:32:32.422433,1
00513B9D7E80,1.4,10.0,59.0,2,2024-09-03 15:32:33.417451,1
00513B9D7E80,1.3,11.0,59.0,2,2024-09-03 15:32:34.418126,1
00513B9D7E80,1.2,11.0,59.0,2,2024-09-03 15:32:35.413898,1
00513B9D7E80,1.1,12.0,59.0,2,2024-09-03 15:32:36.409801,1
00513B9D7E80,1.1,12.0,59.0,2,2024-09-03 15:32:37.411021,1
00513B9D7E80,1.1,17.0,59.0,3,2024-09-03 15:32:38.407377,1
00513B9D7E80,1.1,12.0,59.0,3,2024-09-03 15:32:39.402929,1
00513B9D7E80,1.2,15.0,59.0,3,2024-09-03 15:32:40.404076,1
00513B9D7E80,1.2,18.0,59.0,3,2024-09-03 15:32:41.408824,1
00513B9D7E80,1.5,18.0,59.0,3,2024-09-03 15:32:42.402380,1
00513B9D7E80,1.7,23.0,64.0,2,2024-09-03 15:32:43.431050,1
00513B9D7E80,1.6,18.0,59.0,2,2024-09-03 15:32:44.392133,1
00513B9D7E80,1.1,17.0,59.0,2,2024-09-03 15:32:45.478840,1
00513B9D7E80,1.0,17.0,61.0,2,2024-09-03 15:32:46.388925,1
00513B9D7E80,1.0,22.0,66.0,2,2024-09-03 15:32:47.385210,1
00513B9D7E80,1.0,27.0,71.0,2,2024-09-03 15:32:48.386024,1
00513B9D7E80,1.0,22.0,71.0,3,2024-09-03 15:32:49.382301,1
00513B9D7E80,1.1,27.0,76.0,4,2024-09-03 15:32:50.496433,1
00513B9D7E80,1.2,32.0,81.0,4,2024-09-03 15:32:51.417292,1
00513B9D7E80,1.2,29.0,76.0,4,2024-09-03 15:32:52.374778,1
00513B9D7E80,1.4,29.0,71.0,4,2024-09-03 15:32:53.370825,1
