id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.8,21.0,54.0,1,2024-09-09 17:08:29.875130,1
00513B9D7E80,1.4,21.0,59.0,1,2024-09-09 17:08:30.871624,1
00513B9D7E80,1.8,21.0,64.0,1,2024-09-09 17:08:31.866999,1
00513B9D7E80,1.7,21.0,69.0,1,2024-09-09 17:08:32.867871,1
00513B9D7E80,1.7,21.0,74.0,2,2024-09-09 17:08:33.866775,1
00513B9D7E80,1.6,21.0,74.0,2,2024-09-09 17:08:34.860688,1
00513B9D7E80,1.6,21.0,74.0,1,2024-09-09 17:08:35.943397,1
00513B9D7E80,1.6,21.0,74.0,2,2024-09-09 17:08:36.857169,1
00513B9D7E80,0.9,21.0,74.0,1,2024-09-09 17:08:37.861587,1
00513B9D7E80,1.6,21.0,74.0,1,2024-09-09 17:08:38.853548,1
00513B9D7E80,1.8,21.0,76.0,1,2024-09-09 17:08:39.851579,1
00513B9D7E80,1.8,21.0,76.0,1,2024-09-09 17:08:40.850116,1
00513B9D7E80,1.4,21.0,76.0,1,2024-09-09 17:08:41.875597,1
00513B9D7E80,1.1,21.0,76.0,1,2024-09-09 17:08:42.842163,1
00513B9D7E80,1.0,21.0,76.0,2,2024-09-09 17:08:43.845702,1
00513B9D7E80,1.0,21.0,76.0,2,2024-09-09 17:08:44.839418,1
00513B9D7E80,1.0,26.0,81.0,3,2024-09-09 17:08:45.835722,1
00513B9D7E80,1.0,21.0,76.0,2,2024-09-09 17:08:46.836177,1
00513B9D7E80,0.9,16.0,71.0,3,2024-09-09 17:08:47.832909,1
00513B9D7E80,1.0,17.0,66.0,3,2024-09-09 17:08:48.828732,1
00513B9D7E80,1.1,17.0,61.0,4,2024-09-09 17:08:49.830271,1
00513B9D7E80,1.2,21.0,56.0,3,2024-09-09 17:08:50.834754,1
00513B9D7E80,1.2,21.0,52.0,3,2024-09-09 17:08:51.830006,1
00513B9D7E80,1.2,21.0,52.0,2,2024-09-09 17:08:52.822238,1
00513B9D7E80,1.4,21.0,52.0,3,2024-09-09 17:08:53.898980,1
00513B9D7E80,1.4,21.0,52.0,2,2024-09-09 17:08:54.914370,1
00513B9D7E80,1.4,21.0,52.0,2,2024-09-09 17:08:55.941111,1
00513B9D7E80,1.5,21.0,52.0,2,2024-09-09 17:08:56.811312,1
00513B9D7E80,1.5,21.0,52.0,2,2024-09-09 17:08:57.812475,1
00513B9D7E80,1.6,21.0,52.0,2,2024-09-09 17:08:58.808139,1
00513B9D7E80,1.8,21.0,52.0,2,2024-09-09 17:08:59.805757,1
00513B9D7E80,2.0,21.0,54.0,2,2024-09-09 17:09:00.805510,1
00513B9D7E80,1.2,21.0,54.0,2,2024-09-09 17:09:01.874263,1
00513B9D7E80,2.1,21.0,54.0,2,2024-09-09 17:09:02.798478,1
00513B9D7E80,2.1,21.0,54.0,2,2024-09-09 17:09:03.798688,1
00513B9D7E80,2.1,21.0,54.0,2,2024-09-09 17:09:04.803493,1
00513B9D7E80,1.9,21.0,54.0,2,2024-09-09 17:09:05.794521,1
00513B9D7E80,1.2,21.0,54.0,2,2024-09-09 17:09:06.847539,1
00513B9D7E80,2.4,21.0,54.0,2,2024-09-09 17:09:07.789847,1
00513B9D7E80,1.9,21.0,54.0,2,2024-09-09 17:09:08.788024,1
