id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,2.1,22.0,57.0,1,2024-08-27 18:42:52.219388,1
00513B9D7E80,2.0,27.0,62.0,1,2024-08-27 18:42:53.167227,1
00513B9D7E80,2.1,32.0,67.0,2,2024-08-27 18:42:54.158581,1
00513B9D7E80,1.8,34.0,72.0,2,2024-08-27 18:42:55.154599,1
00513B9D7E80,1.8,30.0,77.0,2,2024-08-27 18:42:56.150580,1
00513B9D7E80,2.1,32.0,82.0,2,2024-08-27 18:42:57.151801,1
00513B9D7E80,1.8,32.0,87.0,2,2024-08-27 18:42:58.238854,1
00513B9D7E80,1.8,32.0,92.0,2,2024-08-27 18:42:59.144057,1
00513B9D7E80,2.0,32.0,96.0,2,2024-08-27 18:43:00.144916,1
00513B9D7E80,2.0,27.0,91.0,1,2024-08-27 18:43:01.209984,1
00513B9D7E80,2.0,22.0,86.0,2,2024-08-27 18:43:02.136818,1
00513B9D7E80,0.9,17.0,81.0,2,2024-08-27 18:43:03.156385,1
00513B9D7E80,0.9,12.0,76.0,2,2024-08-27 18:43:04.135335,1
00513B9D7E80,1.8,15.0,71.0,2,2024-08-27 18:43:05.129999,1
00513B9D7E80,2.0,15.0,66.0,2,2024-08-27 18:43:06.139643,1
00513B9D7E80,2.0,15.0,61.0,2,2024-08-27 18:43:07.126008,1
00513B9D7E80,1.7,15.0,56.0,2,2024-08-27 18:43:08.127106,1
00513B9D7E80,1.4,14.0,54.0,2,2024-08-27 18:43:09.195097,1
00513B9D7E80,1.2,10.0,54.0,3,2024-08-27 18:43:10.119236,1
00513B9D7E80,1.2,10.0,54.0,3,2024-08-27 18:43:11.120218,1
00513B9D7E80,1.1,10.0,59.0,2,2024-08-27 18:43:12.116193,1
00513B9D7E80,1.1,15.0,64.0,3,2024-08-27 18:43:13.112263,1
00513B9D7E80,1.1,18.0,59.0,2,2024-08-27 18:43:14.212807,1
00513B9D7E80,1.3,14.0,59.0,2,2024-08-27 18:43:15.109231,1
00513B9D7E80,1.7,14.0,59.0,2,2024-08-27 18:43:16.105289,1
00513B9D7E80,1.9,18.0,59.0,2,2024-08-27 18:43:17.174733,1
00513B9D7E80,2.0,14.0,64.0,2,2024-08-27 18:43:18.102349,1
00513B9D7E80,0.9,14.0,69.0,2,2024-08-27 18:43:19.106980,1
00513B9D7E80,1.7,14.0,74.0,2,2024-08-27 18:43:20.100205,1
00513B9D7E80,1.7,14.0,74.0,2,2024-08-27 18:43:21.094472,1
00513B9D7E80,1.9,14.0,74.0,2,2024-08-27 18:43:22.200229,1
00513B9D7E80,1.8,14.0,74.0,2,2024-08-27 18:43:23.091505,1
00513B9D7E80,1.8,14.0,74.0,2,2024-08-27 18:43:24.088336,1
00513B9D7E80,1.9,14.0,70.0,2,2024-08-27 18:43:25.088663,1
00513B9D7E80,1.1,14.0,70.0,2,2024-08-27 18:43:26.115207,1
00513B9D7E80,1.1,14.0,74.0,2,2024-08-27 18:43:27.115682,1
00513B9D7E80,1.2,14.0,74.0,2,2024-08-27 18:43:28.081739,1
00513B9D7E80,1.6,14.0,74.0,2,2024-08-27 18:43:29.077803,1
00513B9D7E80,0.9,14.0,74.0,2,2024-08-27 18:43:30.076167,1
00513B9D7E80,1.5,14.0,74.0,2,2024-08-27 18:43:31.074722,1
00513B9D7E80,1.5,14.0,74.0,2,2024-08-27 18:43:32.070859,1
00513B9D7E80,1.5,14.0,69.0,2,2024-08-27 18:43:33.075483,1
00513B9D7E80,1.5,14.0,69.0,2,2024-08-27 18:43:34.067103,1
