id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,2.4,31.0,90.0,2,2024-08-30 09:36:19.004045,1
00513B9D7E80,0.9,26.0,85.0,2,2024-08-30 09:36:20.000911,1
00513B9D7E80,2.4,28.0,80.0,1,2024-08-30 09:36:21.002681,1
00513B9D7E80,2.4,33.0,85.0,2,2024-08-30 09:36:21.997757,1
00513B9D7E80,2.4,28.0,80.0,2,2024-08-30 09:36:22.995597,1
00513B9D7E80,2.4,23.0,75.0,2,2024-08-30 09:36:23.995162,1
00513B9D7E80,2.4,25.0,72.0,2,2024-08-30 09:36:24.991740,1
00513B9D7E80,0.9,20.0,72.0,2,2024-08-30 09:36:25.986542,1
00513B9D7E80,2.4,15.0,72.0,2,2024-08-30 09:36:26.995825,1
00513B9D7E80,2.4,11.0,72.0,2,2024-08-30 09:36:27.984208,1
00513B9D7E80,2.4,11.0,72.0,2,2024-08-30 09:36:28.980309,1
00513B9D7E80,1.5,11.0,72.0,2,2024-08-30 09:36:29.980710,1
00513B9D7E80,2.4,11.0,72.0,2,2024-08-30 09:36:30.985902,1
00513B9D7E80,2.4,11.0,67.0,2,2024-08-30 09:36:31.977405,1
00513B9D7E80,2.4,11.0,62.0,2,2024-08-30 09:36:32.973527,1
00513B9D7E80,0.9,11.0,57.0,2,2024-08-30 09:36:33.969301,1
00513B9D7E80,1.9,11.0,54.0,2,2024-08-30 09:36:34.970558,1
00513B9D7E80,2.1,11.0,54.0,2,2024-08-30 09:36:35.966103,1
00513B9D7E80,1.6,11.0,54.0,2,2024-08-30 09:36:36.962365,1
00513B9D7E80,1.5,11.0,59.0,2,2024-08-30 09:36:37.963557,1
00513B9D7E80,1.4,11.0,62.0,2,2024-08-30 09:36:38.973825,1
00513B9D7E80,1.3,11.0,62.0,2,2024-08-30 09:36:39.997908,1
00513B9D7E80,1.2,11.0,62.0,3,2024-08-30 09:36:40.993778,1
00513B9D7E80,1.1,11.0,62.0,3,2024-08-30 09:36:41.952156,1
00513B9D7E80,1.0,11.0,62.0,3,2024-08-30 09:36:42.955326,1
00513B9D7E80,1.0,12.0,62.0,3,2024-08-30 09:36:43.958570,1
00513B9D7E80,1.5,12.0,67.0,2,2024-08-30 09:36:45.119785,1
00513B9D7E80,1.2,17.0,72.0,2,2024-08-30 09:36:45.945372,1
00513B9D7E80,2.5,21.0,76.0,2,2024-08-30 09:36:46.942024,1
00513B9D7E80,2.5,16.0,75.0,2,2024-08-30 09:36:47.937772,1
00513B9D7E80,2.5,14.0,70.0,2,2024-08-30 09:36:48.939049,1
00513B9D7E80,1.5,19.0,65.0,2,2024-08-30 09:36:49.935057,1
00513B9D7E80,2.4,17.0,61.0,2,2024-08-30 09:36:50.930832,1
00513B9D7E80,0.9,16.0,61.0,2,2024-08-30 09:36:51.931710,1
00513B9D7E80,1.5,14.0,61.0,2,2024-08-30 09:36:52.928408,1
00513B9D7E80,2.4,17.0,61.0,2,2024-08-30 09:36:53.924171,1
00513B9D7E80,2.4,16.0,61.0,2,2024-08-30 09:36:54.947094,1
00513B9D7E80,2.5,16.0,61.0,3,2024-08-30 09:36:55.920839,1
00513B9D7E80,0.9,16.0,66.0,2,2024-08-30 09:36:56.917364,1
00513B9D7E80,2.1,16.0,71.0,2,2024-08-30 09:36:57.933909,1
00513B9D7E80,1.4,16.0,75.0,2,2024-08-30 09:36:58.943816,1
00513B9D7E80,0.9,16.0,75.0,3,2024-08-30 09:36:59.914514,1
00513B9D7E80,0.9,16.0,75.0,2,2024-08-30 09:37:00.909986,1
00513B9D7E80,1.7,15.0,70.0,2,2024-08-30 09:37:01.908384,1
