id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.4,25.0,64.0,2,2024-08-30 13:23:13.395272,1
00513B9D7E80,1.2,25.0,64.0,3,2024-08-30 13:23:14.395830,1
00513B9D7E80,1.1,25.0,68.0,2,2024-08-30 13:23:15.391928,1
00513B9D7E80,1.1,25.0,63.0,2,2024-08-30 13:23:16.387866,1
00513B9D7E80,1.1,25.0,62.0,2,2024-08-30 13:23:17.389625,1
00513B9D7E80,1.2,25.0,62.0,2,2024-08-30 13:23:18.385708,1
00513B9D7E80,1.2,25.0,62.0,2,2024-08-30 13:23:19.381757,1
00513B9D7E80,1.2,25.0,62.0,2,2024-08-30 13:23:20.382988,1
00513B9D7E80,1.1,25.0,62.0,2,2024-08-30 13:23:21.378589,1
00513B9D7E80,1.2,25.0,62.0,2,2024-08-30 13:23:22.383575,1
00513B9D7E80,1.1,25.0,62.0,2,2024-08-30 13:23:23.375328,1
00513B9D7E80,1.2,25.0,62.0,2,2024-08-30 13:23:24.387242,1
00513B9D7E80,1.2,25.0,62.0,2,2024-08-30 13:23:25.367016,1
00513B9D7E80,1.1,25.0,62.0,3,2024-08-30 13:23:26.368092,1
00513B9D7E80,1.1,25.0,62.0,3,2024-08-30 13:23:27.364786,1
00513B9D7E80,1.2,25.0,62.0,2,2024-08-30 13:23:28.365231,1
00513B9D7E80,1.2,30.0,67.0,3,2024-08-30 13:23:29.361191,1
00513B9D7E80,1.3,35.0,72.0,3,2024-08-30 13:23:30.357153,1
00513B9D7E80,1.4,37.0,77.0,2,2024-08-30 13:23:31.358706,1
00513B9D7E80,1.5,37.0,82.0,2,2024-08-30 13:23:32.355166,1
00513B9D7E80,1.7,37.0,84.0,2,2024-08-30 13:23:33.350422,1
00513B9D7E80,1.7,37.0,85.0,2,2024-08-30 13:23:34.351247,1
00513B9D7E80,1.8,37.0,85.0,2,2024-08-30 13:23:35.347589,1
00513B9D7E80,1.9,37.0,85.0,2,2024-08-30 13:23:36.351909,1
00513B9D7E80,1.7,37.0,85.0,2,2024-08-30 13:23:37.343392,1
00513B9D7E80,1.9,37.0,85.0,2,2024-08-30 13:23:38.416500,1
00513B9D7E80,1.7,37.0,85.0,2,2024-08-30 13:23:39.335809,1
00513B9D7E80,1.9,37.0,85.0,2,2024-08-30 13:23:40.336830,1
00513B9D7E80,1.9,37.0,85.0,2,2024-08-30 13:23:41.334935,1
00513B9D7E80,1.7,37.0,85.0,2,2024-08-30 13:23:42.328838,1
00513B9D7E80,2.0,37.0,85.0,2,2024-08-30 13:23:43.331226,1
00513B9D7E80,0.9,37.0,85.0,3,2024-08-30 13:23:44.325495,1
00513B9D7E80,1.8,37.0,85.0,3,2024-08-30 13:23:45.321495,1
00513B9D7E80,1.7,37.0,85.0,2,2024-08-30 13:23:46.322799,1
00513B9D7E80,1.6,37.0,85.0,2,2024-08-30 13:23:47.321380,1
00513B9D7E80,1.0,37.0,85.0,2,2024-08-30 13:23:48.320050,1
00513B9D7E80,0.9,37.0,85.0,3,2024-08-30 13:23:49.324874,1
00513B9D7E80,1.1,37.0,85.0,3,2024-08-30 13:23:50.311211,1
00513B9D7E80,1.3,37.0,85.0,3,2024-08-30 13:23:51.311725,1
