id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.6,10.0,55.0,2,2024-08-30 13:29:14.584199,1
00513B9D7E80,1.6,15.0,55.0,2,2024-08-30 13:29:15.578875,1
00513B9D7E80,1.6,19.0,55.0,2,2024-08-30 13:29:16.575035,1
00513B9D7E80,1.8,19.0,55.0,2,2024-08-30 13:29:17.576105,1
00513B9D7E80,1.8,19.0,55.0,2,2024-08-30 13:29:18.572116,1
00513B9D7E80,1.5,19.0,55.0,2,2024-08-30 13:29:19.569548,1
00513B9D7E80,1.6,19.0,55.0,2,2024-08-30 13:29:20.568761,1
00513B9D7E80,1.6,19.0,55.0,2,2024-08-30 13:29:21.565376,1
00513B9D7E80,1.6,19.0,55.0,2,2024-08-30 13:29:22.563056,1
00513B9D7E80,2.0,19.0,55.0,2,2024-08-30 13:29:23.563113,1
00513B9D7E80,2.0,19.0,55.0,2,2024-08-30 13:29:24.566870,1
00513B9D7E80,1.5,19.0,55.0,2,2024-08-30 13:29:25.561735,1
00513B9D7E80,1.8,19.0,55.0,2,2024-08-30 13:29:26.553993,1
00513B9D7E80,1.8,19.0,55.0,2,2024-08-30 13:29:27.550684,1
00513B9D7E80,1.6,19.0,55.0,2,2024-08-30 13:29:28.553143,1
00513B9D7E80,1.6,19.0,55.0,3,2024-08-30 13:29:29.549421,1
00513B9D7E80,0.9,19.0,55.0,3,2024-08-30 13:29:30.544855,1
00513B9D7E80,0.9,19.0,55.0,3,2024-08-30 13:29:31.544899,1
00513B9D7E80,1.4,19.0,55.0,3,2024-08-30 13:29:32.540495,1
00513B9D7E80,1.3,19.0,55.0,3,2024-08-30 13:29:33.536928,1
00513B9D7E80,1.2,19.0,55.0,4,2024-08-30 13:29:34.537986,1
00513B9D7E80,1.3,19.0,55.0,4,2024-08-30 13:29:35.534024,1
00513B9D7E80,1.3,24.0,60.0,4,2024-08-30 13:29:36.529626,1
00513B9D7E80,1.2,19.0,55.0,4,2024-08-30 13:29:37.539727,1
00513B9D7E80,1.5,14.0,55.0,2,2024-08-30 13:29:38.525976,1
00513B9D7E80,1.6,14.0,55.0,2,2024-08-30 13:29:39.522193,1
00513B9D7E80,1.5,14.0,55.0,2,2024-08-30 13:29:40.523301,1
00513B9D7E80,1.7,14.0,55.0,2,2024-08-30 13:29:41.657690,1
00513B9D7E80,1.8,12.0,55.0,2,2024-08-30 13:29:42.515436,1
00513B9D7E80,2.0,12.0,55.0,2,2024-08-30 13:29:43.516402,1
00513B9D7E80,2.0,16.0,55.0,2,2024-08-30 13:29:44.515968,1
00513B9D7E80,2.0,16.0,55.0,2,2024-08-30 13:29:45.508254,1
00513B9D7E80,1.8,16.0,60.0,2,2024-08-30 13:29:46.509291,1
00513B9D7E80,2.0,16.0,65.0,2,2024-08-30 13:29:47.505638,1
00513B9D7E80,2.2,16.0,70.0,2,2024-08-30 13:29:48.507000,1
00513B9D7E80,2.0,16.0,75.0,2,2024-08-30 13:29:49.530789,1
00513B9D7E80,2.1,16.0,75.0,3,2024-08-30 13:29:50.498765,1
00513B9D7E80,1.7,14.0,75.0,3,2024-08-30 13:29:51.508557,1
00513B9D7E80,2.0,14.0,75.0,3,2024-08-30 13:29:52.494839,1
00513B9D7E80,1.3,15.0,75.0,2,2024-08-30 13:29:53.537359,1
00513B9D7E80,0.9,16.0,75.0,2,2024-08-30 13:29:54.552271,1
00513B9D7E80,1.1,14.0,75.0,2,2024-08-30 13:29:55.488050,1
00513B9D7E80,1.6,14.0,75.0,3,2024-08-30 13:29:56.484173,1
00513B9D7E80,1.6,14.0,75.0,2,2024-08-30 13:29:57.485187,1
