id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.8,29.0,78.0,2,2024-09-05 14:26:12.741946,1
00513B9D7E80,1.8,29.0,78.0,2,2024-09-05 14:26:13.746458,1
00513B9D7E80,2.3,29.0,78.0,2,2024-09-05 14:26:14.778053,1
00513B9D7E80,1.5,34.0,83.0,2,2024-09-05 14:26:15.734020,1
00513B9D7E80,2.2,32.0,88.0,2,2024-09-05 14:26:16.759030,1
00513B9D7E80,2.2,37.0,93.0,2,2024-09-05 14:26:17.791112,1
00513B9D7E80,2.2,38.0,98.0,2,2024-09-05 14:26:18.727350,1
00513B9D7E80,0.9,38.0,98.0,2,2024-09-05 14:26:19.728248,1
00513B9D7E80,1.8,38.0,98.0,2,2024-09-05 14:26:20.725337,1
00513B9D7E80,1.8,38.0,98.0,2,2024-09-05 14:26:21.720174,1
00513B9D7E80,1.8,33.0,99.0,2,2024-09-05 14:26:22.721808,1
00513B9D7E80,2.0,28.0,99.0,2,2024-09-05 14:26:23.717120,1
00513B9D7E80,2.0,25.0,99.0,2,2024-09-05 14:26:24.738769,1
00513B9D7E80,0.9,25.0,99.0,2,2024-09-05 14:26:25.801289,1
00513B9D7E80,1.7,25.0,99.0,2,2024-09-05 14:26:26.709945,1
00513B9D7E80,1.2,25.0,94.0,2,2024-09-05 14:26:27.715456,1
00513B9D7E80,2.0,25.0,89.0,2,2024-09-05 14:26:28.784424,1
00513B9D7E80,2.0,25.0,84.0,3,2024-09-05 14:26:29.704651,1
00513B9D7E80,1.8,25.0,79.0,2,2024-09-05 14:26:30.703578,1
00513B9D7E80,0.9,23.0,74.0,2,2024-09-05 14:26:31.699602,1
00513B9D7E80,2.0,23.0,69.0,2,2024-09-05 14:26:32.750800,1
00513B9D7E80,1.8,23.0,64.0,2,2024-09-05 14:26:33.698571,1
00513B9D7E80,1.8,22.0,59.0,2,2024-09-05 14:26:34.703503,1
00513B9D7E80,1.8,17.0,55.0,2,2024-09-05 14:26:35.753696,1
00513B9D7E80,1.3,22.0,55.0,2,2024-09-05 14:26:36.691360,1
00513B9D7E80,1.2,22.0,55.0,2,2024-09-05 14:26:37.723887,1
00513B9D7E80,1.1,17.0,55.0,3,2024-09-05 14:26:38.773903,1
00513B9D7E80,1.1,17.0,55.0,3,2024-09-05 14:26:39.687357,1
00513B9D7E80,1.1,12.0,55.0,3,2024-09-05 14:26:40.687817,1
00513B9D7E80,1.3,11.0,55.0,3,2024-09-05 14:26:41.674059,1
00513B9D7E80,1.4,12.0,55.0,3,2024-09-05 14:26:42.678724,1
00513B9D7E80,1.5,17.0,60.0,3,2024-09-05 14:26:43.671253,1
00513B9D7E80,1.6,12.0,55.0,3,2024-09-05 14:26:44.667247,1
00513B9D7E80,1.6,17.0,60.0,2,2024-09-05 14:26:45.712120,1
00513B9D7E80,1.6,14.0,55.0,4,2024-09-05 14:26:46.664501,1
00513B9D7E80,1.5,19.0,55.0,3,2024-09-05 14:26:47.660408,1
00513B9D7E80,0.9,22.0,55.0,3,2024-09-05 14:26:48.662855,1
00513B9D7E80,1.3,22.0,55.0,2,2024-09-05 14:26:49.657569,1
00513B9D7E80,1.2,27.0,60.0,2,2024-09-05 14:26:50.659402,1
00513B9D7E80,1.2,27.0,65.0,2,2024-09-05 14:26:51.654604,1
00513B9D7E80,1.2,22.0,70.0,2,2024-09-05 14:26:52.650481,1
00513B9D7E80,1.1,22.0,75.0,2,2024-09-05 14:26:53.652822,1
00513B9D7E80,1.2,27.0,80.0,2,2024-09-05 14:26:54.656475,1
00513B9D7E80,1.4,32.0,85.0,2,2024-09-05 14:26:55.673646,1
00513B9D7E80,1.4,37.0,90.0,2,2024-09-05 14:26:56.734252,1
00513B9D7E80,1.7,38.0,90.0,2,2024-09-05 14:26:57.641869,1
00513B9D7E80,1.8,38.0,90.0,2,2024-09-05 14:26:58.687993,1
00513B9D7E80,1.5,38.0,90.0,2,2024-09-05 14:26:59.636930,1
00513B9D7E80,2.1,38.0,94.0,2,2024-09-05 14:27:00.635386,1
00513B9D7E80,2.1,38.0,89.0,2,2024-09-05 14:27:01.629202,1
00513B9D7E80,2.1,38.0,89.0,2,2024-09-05 14:27:02.629997,1
00513B9D7E80,0.9,38.0,89.0,2,2024-09-05 14:27:03.626181,1
00513B9D7E80,1.9,38.0,89.0,2,2024-09-05 14:27:04.626936,1
00513B9D7E80,2.1,38.0,89.0,2,2024-09-05 14:27:05.622922,1
00513B9D7E80,2.3,38.0,89.0,2,2024-09-05 14:27:06.618972,1
00513B9D7E80,2.3,38.0,89.0,2,2024-09-05 14:27:07.623978,1
00513B9D7E80,2.1,38.0,89.0,2,2024-09-05 14:27:08.615245,1
00513B9D7E80,2.1,38.0,89.0,2,2024-09-05 14:27:09.611425,1
00513B9D7E80,2.1,38.0,89.0,2,2024-09-05 14:27:10.612394,1
00513B9D7E80,1.9,38.0,89.0,2,2024-09-05 14:27:11.658171,1
00513B9D7E80,1.9,38.0,89.0,2,2024-09-05 14:27:12.702178,1
00513B9D7E80,0.9,38.0,89.0,2,2024-09-05 14:27:13.618455,1
00513B9D7E80,2.1,38.0,89.0,2,2024-09-05 14:27:14.674720,1
