id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.7,17.0,74.0,2,2024-09-05 13:48:15.005272,1
00513B9D7E80,1.7,17.0,79.0,2,2024-09-05 13:48:16.001067,1
00513B9D7E80,1.8,17.0,84.0,2,2024-09-05 13:48:17.005697,1
00513B9D7E80,1.7,17.0,85.0,2,2024-09-05 13:48:17.997432,1
00513B9D7E80,1.7,17.0,85.0,2,2024-09-05 13:48:18.993286,1
00513B9D7E80,1.7,17.0,85.0,2,2024-09-05 13:48:19.994439,1
00513B9D7E80,0.9,17.0,80.0,2,2024-09-05 13:48:20.990296,1
00513B9D7E80,1.7,17.0,75.0,2,2024-09-05 13:48:22.097314,1
00513B9D7E80,0.9,17.0,70.0,2,2024-09-05 13:48:22.988406,1
00513B9D7E80,1.7,17.0,65.0,2,2024-09-05 13:48:23.983821,1
00513B9D7E80,1.7,17.0,63.0,2,2024-09-05 13:48:24.979660,1
00513B9D7E80,1.6,17.0,63.0,2,2024-09-05 13:48:25.981017,1
00513B9D7E80,0.9,17.0,63.0,2,2024-09-05 13:48:26.976438,1
00513B9D7E80,1.9,17.0,58.0,2,2024-09-05 13:48:27.973049,1
00513B9D7E80,1.6,17.0,53.0,2,2024-09-05 13:48:28.974231,1
00513B9D7E80,1.2,19.0,52.0,2,2024-09-05 13:48:30.077466,1
00513B9D7E80,1.7,17.0,52.0,2,2024-09-05 13:48:30.974887,1
00513B9D7E80,1.7,17.0,52.0,2,2024-09-05 13:48:31.966146,1
00513B9D7E80,1.8,22.0,52.0,2,2024-09-05 13:48:32.962272,1
00513B9D7E80,1.7,22.0,52.0,3,2024-09-05 13:48:33.957640,1
00513B9D7E80,1.4,25.0,57.0,2,2024-09-05 13:48:34.959438,1
00513B9D7E80,1.2,22.0,52.0,2,2024-09-05 13:48:36.016475,1
00513B9D7E80,1.2,27.0,57.0,2,2024-09-05 13:48:36.951503,1
00513B9D7E80,1.0,25.0,62.0,2,2024-09-05 13:48:37.952590,1
00513B9D7E80,1.2,20.0,57.0,3,2024-09-05 13:48:38.948629,1
00513B9D7E80,1.3,17.0,52.0,3,2024-09-05 13:48:39.944686,1
00513B9D7E80,1.4,17.0,52.0,2,2024-09-05 13:48:40.945450,1
00513B9D7E80,0.9,17.0,52.0,2,2024-09-05 13:48:41.956842,1
00513B9D7E80,0.9,17.0,57.0,2,2024-09-05 13:48:42.942908,1
00513B9D7E80,2.1,17.0,62.0,2,2024-09-05 13:48:43.947615,1
00513B9D7E80,2.3,22.0,67.0,2,2024-09-05 13:48:44.933625,1
00513B9D7E80,1.5,27.0,63.0,2,2024-09-05 13:48:45.935085,1
00513B9D7E80,1.3,27.0,63.0,2,2024-09-05 13:48:46.931032,1
00513B9D7E80,1.3,27.0,63.0,2,2024-09-05 13:48:47.926800,1
00513B9D7E80,1.3,27.0,63.0,2,2024-09-05 13:48:49.022444,1
00513B9D7E80,1.5,27.0,63.0,2,2024-09-05 13:48:49.946252,1
00513B9D7E80,1.5,27.0,63.0,2,2024-09-05 13:48:50.920334,1
00513B9D7E80,1.4,27.0,63.0,2,2024-09-05 13:48:51.924614,1
00513B9D7E80,2.6,27.0,63.0,2,2024-09-05 13:48:52.917482,1
00513B9D7E80,2.4,27.0,63.0,2,2024-09-05 13:48:53.913494,1
00513B9D7E80,1.7,27.0,68.0,2,2024-09-05 13:48:54.915960,1
00513B9D7E80,1.7,27.0,73.0,2,2024-09-05 13:48:55.984052,1
00513B9D7E80,1.2,27.0,78.0,2,2024-09-05 13:48:57.114073,1
00513B9D7E80,1.1,27.0,83.0,3,2024-09-05 13:48:58.041978,1
00513B9D7E80,1.3,27.0,83.0,3,2024-09-05 13:48:58.902366,1
00513B9D7E80,1.5,27.0,83.0,2,2024-09-05 13:48:59.986901,1
00513B9D7E80,1.5,27.0,78.0,2,2024-09-05 13:49:00.899389,1
00513B9D7E80,1.4,27.0,78.0,2,2024-09-05 13:49:01.895804,1
