id,targetDistance,breathingRate,heartRate,physiologicalState,timestamp,target
00513B9D7E80,1.2,22.0,92.0,2,2024-09-06 12:41:03.331091,1
00513B9D7E80,1.2,22.0,92.0,2,2024-09-06 12:41:04.326885,1
00513B9D7E80,1.2,22.0,92.0,2,2024-09-06 12:41:05.328080,1
00513B9D7E80,1.2,22.0,92.0,2,2024-09-06 12:41:06.323989,1
00513B9D7E80,1.3,22.0,92.0,1,2024-09-06 12:41:07.320057,1
00513B9D7E80,1.4,22.0,92.0,1,2024-09-06 12:41:08.320819,1
00513B9D7E80,1.2,22.0,92.0,1,2024-09-06 12:41:09.316677,1
00513B9D7E80,1.2,22.0,92.0,1,2024-09-06 12:41:10.326504,1
00513B9D7E80,1.2,22.0,92.0,1,2024-09-06 12:41:11.315118,1
00513B9D7E80,1.2,22.0,92.0,1,2024-09-06 12:41:12.378214,1
00513B9D7E80,1.2,22.0,92.0,1,2024-09-06 12:41:13.308677,1
00513B9D7E80,1.4,22.0,92.0,1,2024-09-06 12:41:14.306335,1
00513B9D7E80,1.2,27.0,92.0,1,2024-09-06 12:41:15.314326,1
00513B9D7E80,1.4,32.0,92.0,1,2024-09-06 12:41:16.501934,1
00513B9D7E80,1.4,27.0,92.0,1,2024-09-06 12:41:17.298852,1
00513B9D7E80,1.2,32.0,92.0,1,2024-09-06 12:41:18.419520,1
00513B9D7E80,1.1,35.0,92.0,1,2024-09-06 12:41:19.341547,1
00513B9D7E80,1.1,30.0,92.0,1,2024-09-06 12:41:20.291884,1
00513B9D7E80,1.1,25.0,92.0,1,2024-09-06 12:41:21.287468,1
00513B9D7E80,1.0,24.0,92.0,1,2024-09-06 12:41:22.288960,1
00513B9D7E80,1.0,24.0,92.0,1,2024-09-06 12:41:23.284885,1
00513B9D7E80,1.1,24.0,92.0,2,2024-09-06 12:41:24.286103,1
00513B9D7E80,1.1,24.0,92.0,3,2024-09-06 12:41:25.382713,1
00513B9D7E80,1.1,24.0,92.0,2,2024-09-06 12:41:26.277619,1
00513B9D7E80,1.1,24.0,92.0,2,2024-09-06 12:41:27.336217,1
00513B9D7E80,1.1,24.0,92.0,2,2024-09-06 12:41:28.283385,1
00513B9D7E80,1.1,24.0,92.0,2,2024-09-06 12:41:29.269569,1
00513B9D7E80,1.1,24.0,92.0,3,2024-09-06 12:41:30.265253,1
00513B9D7E80,1.1,24.0,92.0,3,2024-09-06 12:41:31.266398,1
00513B9D7E80,1.1,24.0,87.0,2,2024-09-06 12:41:32.269412,1
00513B9D7E80,1.2,24.0,82.0,2,2024-09-06 12:41:33.289633,1
00513B9D7E80,1.1,24.0,77.0,3,2024-09-06 12:41:34.259861,1
00513B9D7E80,1.3,24.0,72.0,3,2024-09-06 12:41:35.255168,1
00513B9D7E80,1.4,24.0,77.0,2,2024-09-06 12:41:36.251889,1
00513B9D7E80,1.2,24.0,82.0,2,2024-09-06 12:41:37.364722,1
00513B9D7E80,1.4,19.0,77.0,2,2024-09-06 12:41:38.248845,1
00513B9D7E80,1.4,24.0,82.0,2,2024-09-06 12:41:39.244771,1
00513B9D7E80,1.5,24.0,87.0,3,2024-09-06 12:41:40.320672,1
00513B9D7E80,1.6,19.0,90.0,2,2024-09-06 12:41:41.241835,1
00513B9D7E80,0.9,16.0,85.0,2,2024-09-06 12:41:42.251414,1
00513B9D7E80,1.7,16.0,80.0,2,2024-09-06 12:41:43.237631,1
00513B9D7E80,1.7,21.0,85.0,2,2024-09-06 12:41:44.233841,1
00513B9D7E80,1.6,26.0,80.0,2,2024-09-06 12:41:45.234723,1
00513B9D7E80,1.5,21.0,75.0,2,2024-09-06 12:41:46.230739,1
00513B9D7E80,1.6,24.0,77.0,2,2024-09-06 12:41:47.305498,1
00513B9D7E80,1.2,23.0,72.0,2,2024-09-06 12:41:48.227377,1
00513B9D7E80,0.8,24.0,76.0,2,2024-09-06 12:41:49.243387,1
00513B9D7E80,1.8,24.0,76.0,2,2024-09-06 12:41:50.219681,1
00513B9D7E80,2.0,29.0,76.0,2,2024-09-06 12:41:51.220407,1
00513B9D7E80,2.0,24.0,71.0,2,2024-09-06 12:41:52.216776,1
00513B9D7E80,2.0,23.0,66.0,2,2024-09-06 12:41:53.212243,1
00513B9D7E80,0.9,23.0,61.0,2,2024-09-06 12:41:54.213851,1
00513B9D7E80,2.2,23.0,56.0,2,2024-09-06 12:41:55.284031,1
00513B9D7E80,2.0,23.0,61.0,2,2024-09-06 12:41:56.209729,1
00513B9D7E80,1.2,23.0,66.0,2,2024-09-06 12:41:57.336670,1
00513B9D7E80,2.0,23.0,71.0,2,2024-09-06 12:41:58.253123,1
00513B9D7E80,1.2,18.0,76.0,2,2024-09-06 12:41:59.202840,1
00513B9D7E80,2.2,14.0,76.0,2,2024-09-06 12:42:00.198615,1
00513B9D7E80,2.2,19.0,81.0,2,2024-09-06 12:42:01.194638,1
00513B9D7E80,1.8,23.0,86.0,2,2024-09-06 12:42:02.195789,1
00513B9D7E80,1.7,23.0,86.0,3,2024-09-06 12:42:03.192254,1
00513B9D7E80,1.5,23.0,86.0,2,2024-09-06 12:42:04.187694,1
00513B9D7E80,1.5,23.0,86.0,3,2024-09-06 12:42:05.188303,1
00513B9D7E80,1.5,28.0,86.0,2,2024-09-06 12:42:06.184293,1
00513B9D7E80,1.5,32.0,86.0,2,2024-09-06 12:42:07.180637,1
00513B9D7E80,1.6,32.0,86.0,2,2024-09-06 12:42:08.190262,1
00513B9D7E80,1.6,32.0,86.0,2,2024-09-06 12:42:09.176658,1
00513B9D7E80,1.6,32.0,91.0,2,2024-09-06 12:42:10.177554,1
00513B9D7E80,1.6,37.0,95.0,2,2024-09-06 12:42:11.173006,1
00513B9D7E80,1.6,37.0,95.0,2,2024-09-06 12:42:12.169277,1
00513B9D7E80,1.6,32.0,95.0,2,2024-09-06 12:42:13.170605,1
